                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7062,                 1.6118,                 1.8944,                0.61159,                0.43898,                0.48368,                0.23651,                 1.8681,                 1.8392,                 2.0977,               0.006733,               0.006733,               0.006733
                     35,                 1.6857,                 1.6503,                   1.92,                0.60294,                0.48777,                 0.5448,                0.26767,                 1.7457,                 1.7104,                 2.0141,               0.006634,               0.006634,               0.006634
                     36,                 1.6814,                  1.574,                  1.875,                0.54923,                0.50606,                0.50957,                0.24936,                 1.8073,                 1.7971,                 2.0295,               0.006535,               0.006535,               0.006535
                     37,                 1.7694,                 1.6249,                  1.942,                0.74417,                 0.4697,                0.58399,                 0.3028,                 1.7021,                  1.642,                 1.9374,               0.006436,               0.006436,               0.006436
                     38,                 1.6502,                 1.5015,                 1.8478,                0.65388,                0.52424,                0.58618,                 0.3045,                 1.6795,                 1.5653,                 1.9414,               0.006337,               0.006337,               0.006337
                     39,                 1.6393,                 1.5016,                 1.8269,                0.60477,                0.51006,                 0.5359,                0.26857,                 1.7622,                 1.7213,                 2.0104,               0.006238,               0.006238,               0.006238
                     40,                 1.6428,                 1.4773,                 1.8124,                0.61748,                0.55758,                0.58443,                0.31013,                  1.711,                 1.5313,                 1.9415,               0.006139,               0.006139,               0.006139
                     41,                 1.6545,                 1.5182,                 1.8526,                0.65207,                0.46061,                0.52572,                0.28823,                 1.6966,                 1.6759,                 1.9671,                0.00604,                0.00604,                0.00604
                     42,                 1.6089,                 1.4745,                 1.8271,                0.68414,                0.49884,                0.57714,                0.30764,                   1.69,                 1.5908,                 1.9194,               0.005941,               0.005941,               0.005941
                     43,                  1.635,                 1.5316,                  1.845,                0.67629,                0.53813,                0.59417,                0.30589,                 1.7209,                 1.6074,                 1.9365,               0.005842,               0.005842,               0.005842
                     44,                 1.5737,                 1.4576,                 1.7686,                 0.6063,                0.50867,                0.56735,                0.30103,                 1.7162,                 1.6099,                 1.9246,               0.005743,               0.005743,               0.005743
                     45,                 1.5805,                 1.4065,                 1.7481,                 0.6344,                0.52582,                0.57237,                0.31344,                 1.7087,                 1.5657,                 1.8939,               0.005644,               0.005644,               0.005644
                     46,                 1.6139,                 1.4915,                 1.7856,                0.61012,                0.54848,                0.59632,                0.31571,                 1.6844,                 1.5694,                 1.8774,               0.005545,               0.005545,               0.005545
                     47,                 1.5939,                 1.3855,                 1.7701,                0.68443,                0.51263,                0.58445,                0.31951,                 1.7085,                 1.5712,                 1.9248,               0.005446,               0.005446,               0.005446
                     48,                 1.5672,                 1.4058,                 1.7554,                0.73102,                0.48788,                0.60095,                 0.3278,                 1.6639,                 1.5208,                 1.8576,               0.005347,               0.005347,               0.005347
